date,c1_name,c1_start,c1_stop,l_name,l_start,l_stop,c2_name,c2_start,c2_stop,d_name,d_start,d_stop
17  ,Coffee ,10.30   ,11.00  ,Lunch ,13.00  ,14.30 ,Coffee ,16.00   ,16.30  ,Dinner,20.30  ,21.15 
18  ,Coffee ,10.30   ,11.00  ,Lunch ,13.30  ,15.00 ,Coffee ,16.00   ,16.30  ,Dinner,20.30  ,21.30
19  ,Coffee ,10.30   ,11.00  ,Lunch ,13.30  ,15.00 ,Coffee ,16.00   ,16.30  ,Dinner,20.30  ,21.30
20  ,Coffee ,        ,       ,Lunch ,       ,      ,Coffee ,        ,       ,Dinner,20.30  ,21.30
21  ,Coffee ,10.30   ,11.00  ,Lunch ,13.30  ,15.00 ,Coffee ,16.00   ,16.30  ,Dinner,       ,
22  ,Coffee ,10.30   ,11.00  ,Lunch ,13.40  ,15.00 ,Coffee ,16.00   ,16.30  ,Dinner,20.30  ,21.30
23  ,Coffee ,10.30   ,11.00  ,Lunch ,13.30  ,14.45 ,Coffee ,16.00   ,16.00  ,Dinner,20.30  ,23.30
24  ,Coffee ,10.30   ,11.00  ,Lunch ,13.30  ,15.00 ,Coffee ,16.00   ,16.30  ,Dinner,20.30  ,21.30
25  ,Coffee ,10.30   ,11.00  ,Lunch ,13.30  ,14.30 ,Coffee ,15.35   ,16.00  ,Dinner,       ,
26  ,Coffee ,10.30   ,11.00  ,Lunch ,13.30  ,15.00 ,Coffee ,16.00   ,16.30  ,Dinner,20.30  ,21.30
27  ,Coffee ,        ,       ,Lunch ,       ,      ,Coffee ,        ,       ,Dinner,20.30  ,21.30
28  ,Coffee ,10.30   ,11.00  ,Lunch ,13.30  ,15.00 ,Coffee ,16.00   ,16.30  ,Dinner,20.30  ,21.30
29  ,Coffee ,10.30   ,11.00  ,Lunch ,13.30  ,14.40 ,Coffee ,15.40   ,16.10  ,Dinner,19.30  ,20.30
